wnver::1.7.1
1742n 126141 ROOT
2219n 0
2361n 0
2471n 0
2579n 0
2664n 23389
2956n 25345
3135n 25225
4024n 34
4155n 0
4239n 85
4911n 24205
5303n 23376
11413n 1189
12420n 574
13067n 75846
13738n 2927
14223n 9306
15442n 1322
15787n 23342
16679n 119
16840n 19423 ROOT
16993n 53217 ROOT
17218n 17691
17684n 203
18103n 1529
19046n 11401
19434n 736
19843n 874
20224n 51
20488n 0
20595n 10631 ROOT
21905n 7797 ROOT
22113n 34694 ROOT
22634n 25741 ROOT
23182n 5698 ROOT
23392n 11841
23704n 22488
24288n 17628
24503n 17592
24936n 17897
25413n 5553 ROOT
25679n 279
25774n 13
25959n 2077
26395n 0
26565n 1397
27068n 2
27152n 0
27262n 3
27447n 9815
28064n 226
28242n 0
28406n 51
28560n 2
28646n 32
28876n 0
29071n 0
29247n 2
29409n 2
29601n 0
29708n 1
29848n 0
30001n 10
30191n 0
30325n 0
30465n 0
30544n 1
30632n 26
30882n 2
31058n 3
31235n 75
31431n 0
31541n 0
31697n 9
31828n 34
32074n 1
32210n 4
32367n 23
32654n 1
32839n 1
32945n 1
33080n 0
33200n 8
33304n 1
33575n 0
33747n 0
33833n 0
34005n 0
34120n 7
34295n 0
34399n 1
34586n 0
34717n 0
34872n 0
34948n 0
35072n 0
35239n 0
35439n 0
35668n 35
35951n 0
36028n 2
36246n 0
36366n 0
36450n 4
36611n 0
36699n 10
36922n 1
37059n 0
37195n 1
37375n 0
37564n 0
37634n 4
37898n 0
38022n 0
38142n 0
38279n 1
38467n 1
38653n 3
38775n 0
38875n 0
39000n 0
39099n 1
39190n 0
39381n 0
39471n 2
39635n 0
39706n 0
39823n 16
40133n 16
40289n 4
40520n 0
40642n 3
40815n 1
40966n 1
41042n 0
41218n 0
41395n 1
41529n 0
41682n 1
41839n 27
42003n 0
42104n 4
42231n 0
42358n 45
42530n 5
42688n 0
42795n 0
42975n 1
43137n 0
43257n 4
43423n 0
43558n 442
43730n 163
44026n 0
44275n 2
44368n 274
44734n 1
44849n 0
44964n 1
45201n 1
45421n 0
45521n 1
45641n 1
45723n 0
45861n 0
46087n 4
46254n 3
46381n 430
46562n 3
46783n 340
47030n 0
47203n 0
47304n 0
47447n 1
47558n 316
47700n 1
47885n 1
48011n 0
48156n 1
48332n 0
48416n 1
48544n 1
48685n 0
48780n 0
49051n 0
49211n 0
49292n 0
49422n 0
49525n 0
49684n 0
49822n 0
49970n 0
50069n 0
50248n 0
50360n 0
50518n 81
51009n 0
51144n 0
51308n 3
51483n 0
51659n 0
51859n 0
51958n 2
52128n 0
52237n 0
52505n 0
52673n 0
52770n 1
52980n 0
53212n 3
53312n 5
53424n 8
53744n 0
53877n 0
54023n 0
54150n 1
54272n 1
54375n 0
54481n 4
54608n 0
54678n 0
54821n 0
55028n 4
55169n 64
55570n 80
55900n 0
55989n 0
56189n 0
56347n 1
56454n 2
56661n 0
56747n 0
56944n 19
57120n 0
57241n 2
57428n 0
57577n 0
57733n 0
57921n 0
58067n 0
58202n 0
58347n 0
58471n 0
58678n 0
58884n 0
59105n 0
59282n 11
59510n 8
59719n 0
59843n 0
59967n 0
60109n 0
60302n 0
60418n 19
60754n 0
60924n 0
61043n 2
61169n 8
61361n 1
61524n 1
61741n 0
61958n 0
62104n 0
62264n 0
62459n 0
62687n 0
62802n 0
63114n 0
63253n 0
63412n 0
63531n 1
63779n 0
63906n 0
64093n 33
64261n 27
64410n 0
64623n 1
64737n 10
64945n 5
65175n 2
65309n 0
65408n 4
65642n 0
65867n 0
66034n 0
66193n 4
66279n 5
66518n 0
66716n 0
66867n 0
67047n 0
67250n 0
67402n 0
67501n 0
67641n 0
67750n 0
67864n 2
67948n 0
68102n 0
68230n 1
68414n 0
68580n 0
68701n 0
68862n 1
69087n 19
69321n 0
69432n 17
69769n 0
69896n 12
70084n 0
70308n 1
70474n 0
70641n 0
70813n 0
70950n 11
71231n 0
71329n 0
71497n 0
71629n 0
71763n 0
71952n 0
72092n 0
72192n 0
72291n 0
72413n 452
72700n 0
72786n 1
72924n 231
73289n 0
73417n 5
73584n 20
73745n 0
73867n 0
74039n 0
74170n 0
74327n 0
74443n 1
74677n 0
74748n 12
74892n 0
74998n 4
75174n 0
75270n 11
75435n 0
75595n 0
75733n 0
75816n 0
76046n 0
76169n 0
76344n 1
76427n 2
76696n 0
76837n 493
77179n 7
77294n 1
77422n 7
77593n 7
77722n 0
77819n 10
78037n 1
78179n 1
78321n 0
78444n 118
78861n 0
79030n 0
79101n 0
79273n 0
79346n 0
79487n 2
79662n 0
79812n 111
80208n 0
80351n 0
80461n 1
80564n 0
80696n 0
80799n 0
80950n 0
81065n 0
81256n 1
81423n 0
81523n 2
81750n 1
81868n 0
82015n 0
82131n 0
82259n 0
82446n 101
82613n 1
82734n 2
82827n 0
83185n 0
83292n 0
83465n 0
83536n 0
83666n 0
83924n 0
84060n 0
84205n 0
84330n 0
84509n 0
84632n 0
84742n 0
84855n 0
84982n 12
85254n 1
85390n 1
85541n 0
85621n 6
85896n 0
86072n 0
86246n 0
86387n 0
86518n 0
86633n 9
86983n 0
87112n 2
87278n 1
87450n 1
87527n 0
87645n 0
87796n 0
87892n 0
88127n 0
88330n 7
88578n 0
88695n 0
88838n 0
89149n 3
89328n 1
89477n 0
89660n 0
